Trial,1,Sim Type,3,Distance Weight,1,Random Seed,15,Min Iterations,1500,Distance cost,0.6770261804553319,Manip Cost,0.49560255475773973,Total cost,0.6431748714325652,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,2.637032736991858e-05,0.0,0.0,0.0,1.0,1.0,4.929011016e-11,3.074116312111196e-05,2.792220057014656e-05,2.876640846206771e-05,2.949217603231272e-05,2.815522274469446e-05,2.811921445587732e-05,2.807648559059152e-05,2.80270664352527e-05,2.797099014289325e-05,2.790829262591732e-05,2.783901256155172e-05,2.776319140210309e-05,2.768087336349559e-05
Distance to Last Node,0.0,0.1,0.087,0.05,0.119,0.095,0.05,0.103,0.023,0.022,0.022,0.04,0.015,0.015,0.015,0.016,0.016,0.016,0.016,0.016
Total Cost,0.0,0.0767,0.14362,0.1821,0.27375,0.34715,0.38564,0.46504,0.48278,0.49937,0.5164,0.54714,0.55877,0.57052,0.58238,0.59435,0.60642,0.61858,0.63084,0.64317
Joint 6: ,0.5,0.273,0.447,0.51,-0.504,-1.766,-0.724,0.318,-0.71,-1.738,-1.33,0.041,-1.12,-2.281,-3.443
Trial,17,Sim Type,3,Distance Weight,1,Random Seed,255,Min Iterations,1500,Distance cost,0.6518228615750512,Manip Cost,0.6727845823697848,Total cost,0.6192317184962987,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,2.637032736991858e-05,2.754485476573766e-05,2.962783727e-11,0.0,0.0,2.65183759919315e-05,1.0,4.13210422e-11,0.0,4.572114556e-11,1.349300025313125e-05
Distance to Last Node,0.0,0.05,0.095,0.097,0.098,0.099,0.12,0.05,0.04,0.031,0.124
Total Cost,0.0,0.03848,0.11197,0.18691,0.26251,0.33846,0.43068,0.46894,0.49969,0.52393,0.61923
Joint 0: ,0.4,0.319,0.076,-0.056,-0.27,-0.415,-0.339,-0.335,-0.317,-0.3,-0.577
Joint 1: ,-1.45,-1.445,-1.27,-1.412,-1.301,-1.334,-1.189,-1.246,-1.288,-1.33,-1.333
Joint 2: ,1.0,1.075,0.973,1.201,1.064,1.041,0.741,0.681,0.423,0.165,0.455
Joint 3: ,-0.4,-0.438,-0.857,-0.824,-1.018,-1.033,-1.04,-0.926,-0.77,-0.615,-0.513
Joint 4: ,-0.1,-0.031,-0.026,-0.038,-0.041,-0.127,-0.844,-1.058,-0.842,-0.627,-0.739
Joint 5: ,-1.7,-1.84,-1.659,-2.122,-2.014,-2.144,-2.209,-2.287,-2.285,-2.282,-2.082
Joint 6: ,0.5,0.402,0.731,0.091,0.33,0.217,0.315,-0.816,0.65,2.116,2.744
Trial,18,Sim Type,3,Distance Weight,1,Random Seed,270,Min Iterations,1500,Distance cost,0.651156676483309,Manip Cost,0.57044107270944,Total cost,0.6185988426591436,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,2.637032736991858e-05,2.704024835e-11,2.561546694e-11,2.797226864e-11,0.0,0.0,1.0,1.0,1.0,5.838066658e-11,1.627874110252367e-05,1.9327696401564e-05,2.212379555189744e-05
Distance to Last Node,0.0,0.1,0.099,0.089,0.05,0.096,0.05,0.098,0.05,0.099,0.023,0.025,0.026
Total Cost,0.0,0.07663,0.15253,0.22115,0.25963,0.33321,0.37169,0.44703,0.48551,0.56168,0.57935,0.59826,0.6186
Joint 0: ,0.4,0.163,-0.026,-0.035,-0.113,-0.152,-0.249,-0.423,-0.436,-0.473,-0.528,-0.583,-0.639
Joint 1: ,-1.45,-1.333,-1.363,-1.312,-1.266,-1.224,-1.191,-1.169,-1.188,-1.311,-1.331,-1.352,-1.373
Joint 2: ,1.0,0.965,1.01,0.79,0.765,0.545,0.627,0.703,0.629,0.441,0.559,0.677,0.796
Joint 3: ,-0.4,-0.813,-0.904,-0.788,-0.833,-0.854,-0.992,-0.994,-0.963,-0.619,-0.581,-0.543,-0.505
Joint 4: ,-0.1,-0.118,-0.163,-0.156,-0.164,-0.214,-0.422,-0.572,-0.716,-0.732,-0.83,-0.929,-1.027
Joint 5: ,-1.7,-1.612,-1.691,-1.904,-1.914,-2.087,-2.006,-2.09,-2.121,-2.228,-2.206,-2.184,-2.162
Joint 6: ,0.5,0.561,0.279,0.734,0.755,1.047,0.625,0.194,0.132,0.608,-0.753,-2.115,-3.477
Trial,19,Sim Type,3,Distance Weight,1,Random Seed,285,Min Iterations,1500,Distance cost,0.6491508520733805,Manip Cost,0.24642243747289672,Total cost,0.6166933094697115,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,2.637032736991858e-05,1.0,1.0,1.0,1.0,1.0,1.0,4.108488853e-11,1.0,5.299487311e-11,1.475084638862555e-05,1.821757486143635e-05
Distance to Last Node,0.0,0.084,0.05,0.098,0.098,0.098,0.098,0.082,0.11,0.026,0.028,0.03
Total Cost,0.0,0.06435,0.10283,0.17813,0.25393,0.32954,0.40516,0.46814,0.55256,0.57253,0.59384,0.61669
Joint 0: ,0.4,0.479,0.373,0.197,0.014,-0.173,-0.316,-0.347,-0.475,-0.52,-0.566,-0.611
Joint 1: ,-1.45,-1.183,-1.118,-1.039,-0.99,-0.977,-1.022,-1.249,-1.258,-1.289,-1.32,-1.351
Joint 2: ,1.0,0.424,0.46,0.469,0.493,0.551,0.52,0.6,0.245,0.374,0.503,0.632
Joint 3: ,-0.4,-0.636,-0.801,-0.965,-1.1,-1.238,-1.168,-0.871,-0.655,-0.606,-0.557,-0.508
Joint 4: ,-0.1,-0.284,-0.29,-0.26,-0.273,-0.394,-0.432,-0.79,-0.319,-0.509,-0.698,-0.887
Joint 5: ,-1.7,-1.561,-1.504,-1.518,-1.54,-1.517,-1.571,-2.201,-2.123,-2.123,-2.122,-2.122
Joint 6: ,0.5,1.85,1.702,1.629,1.422,0.995,0.82,-0.647,0.158,-1.063,-2.283,-3.504
Trial,20,Sim Type,3,Distance Weight,1,Random Seed,300,Min Iterations,1500,Distance cost,0.643316657805248,Manip Cost,0.40524333510174165,Total cost,0.6111508249149856,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,2.637032736991858e-05,2.672347041765087e-05,0.0,2.692607235e-11,0.0,1.0,1.0,1.0,1.0,1.918271442529952e-05,2.069833942632372e-05,2.21340743828243e-05
Distance to Last Node,0.0,0.05,0.099,0.087,0.05,0.12,0.091,0.05,0.095,0.101,0.025,0.026
Total Cost,0.0,0.03848,0.11491,0.18197,0.22045,0.31299,0.38268,0.42116,0.4941,0.57201,0.59127,0.61115
Joint 0: ,0.4,0.266,0.076,-0.092,-0.183,-0.274,-0.32,-0.399,-0.515,-0.547,-0.593,-0.639
Joint 1: ,-1.45,-1.421,-1.384,-1.334,-1.257,-0.976,-1.092,-1.116,-1.186,-1.362,-1.367,-1.373
Joint 2: ,1.0,1.027,1.048,1.031,0.965,0.604,0.571,0.563,0.628,0.67,0.733,0.796
Joint 3: ,-0.4,-0.604,-0.778,-0.908,-1.043,-1.339,-1.173,-1.117,-0.908,-0.545,-0.525,-0.505
Joint 4: ,-0.1,-0.114,-0.164,-0.2,-0.183,-0.234,-0.422,-0.409,-0.541,-0.896,-0.962,-1.028
Joint 5: ,-1.7,-1.666,-1.742,-1.747,-1.705,-1.317,-1.558,-1.633,-1.915,-2.224,-2.193,-2.162
Joint 6: ,0.5,0.337,0.103,0.035,0.204,0.98,0.617,0.534,-0.093,-1.557,-2.517,-3.477
Trial,21,Sim Type,3,Distance Weight,1,Random Seed,315,Min Iterations,1500,Distance cost,0.6537198037064061,Manip Cost,0.4909817590602606,Total cost,0.6210338135210858,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,2.637032736991858e-05,0.0,2.731456035e-11,0.0,2.716181990623267e-05,0.0,0.0,1.0,1.0,1.0,1.0,2.245071628676391e-05,2.438834079929309e-05
Distance to Last Node,0.0,0.05,0.093,0.099,0.096,0.05,0.089,0.092,0.113,0.03,0.03,0.031,0.033
Total Cost,0.0,0.03848,0.1101,0.18663,0.26015,0.29863,0.36745,0.43809,0.52491,0.54795,0.57133,0.59552,0.62103
Joint 0: ,0.4,0.244,0.03,-0.153,-0.274,-0.365,-0.165,-0.386,-0.571,-0.592,-0.613,-0.634,-0.655
Joint 1: ,-1.45,-1.384,-1.329,-1.302,-1.364,-1.279,-1.237,-1.221,-1.086,-1.162,-1.237,-1.313,-1.389
Joint 2: ,1.0,1.037,1.063,1.035,1.072,0.999,0.473,0.723,0.591,0.669,0.747,0.825,0.903
Joint 3: ,-0.4,-0.674,-0.883,-1.001,-0.906,-1.007,-0.848,-0.954,-1.042,-0.907,-0.772,-0.638,-0.503
Joint 4: ,-0.1,-0.076,-0.091,-0.126,-0.146,-0.127,-0.288,-0.625,-0.601,-0.731,-0.861,-0.991,-1.121
Joint 5: ,-1.7,-1.622,-1.591,-1.609,-1.87,-1.83,-2.337,-2.354,-1.687,-1.812,-1.938,-2.064,-2.19
Joint 6: ,0.5,0.452,0.311,0.244,0.0,0.183,0.987,0.213,1.605,0.338,-0.929,-2.196,-3.463
Trial,22,Sim Type,3,Distance Weight,1,Random Seed,330,Min Iterations,1500,Distance cost,0.6491615151910777,Manip Cost,0.4473578638733182,Total cost,0.6167034394315237,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,2.637032736991858e-05,0.0,4.006987958e-11,0.0,0.0,1.0,1.0,1.0,1.0,2.54432707739105e-05,2.426956733934928e-05
Distance to Last Node,0.0,0.098,0.097,0.098,0.05,0.079,0.05,0.09,0.121,0.069,0.05
Total Cost,0.0,0.07519,0.15011,0.2252,0.26368,0.32453,0.36301,0.43261,0.52554,0.57854,0.6167
Joint 0: ,0.4,0.14,-0.054,-0.234,-0.312,-0.434,-0.503,-0.546,-0.764,-0.709,-0.654
Joint 1: ,-1.45,-1.369,-1.303,-1.305,-1.248,-1.166,-1.146,-1.198,-1.182,-1.285,-1.388
Joint 2: ,1.0,1.059,1.031,1.096,1.069,0.953,0.928,0.883,1.091,0.994,0.897
Joint 3: ,-0.4,-0.776,-0.951,-1.029,-1.158,-1.235,-1.235,-1.038,-1.094,-0.799,-0.503
Joint 4: ,-0.1,-0.072,-0.094,-0.19,-0.288,-0.246,-0.278,-0.427,-0.958,-1.037,-1.116
Joint 5: ,-1.7,-1.66,-1.657,-1.78,-1.769,-1.777,-1.841,-2.05,-1.716,-1.953,-2.189
Joint 6: ,0.5,0.351,0.335,-0.018,-0.077,0.149,0.115,-0.086,-1.369,-2.417,-3.465
Trial,23,Sim Type,3,Distance Weight,1,Random Seed,345,Min Iterations,1500,Distance cost,0.6494594630995593,Manip Cost,0.4,Total cost,0.6169864899445813,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,2.637032736991858e-05,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
Distance to Last Node,0.0,0.09,0.1,0.094,0.113,0.082,0.09,0.125,0.059,0.049
Total Cost,0.0,0.06926,0.14601,0.2181,0.30525,0.3686,0.43775,0.53372,0.579,0.61699
Joint 0: ,0.4,0.151,-0.039,-0.148,-0.274,-0.41,-0.387,-0.451,-0.472,-0.494
Joint 1: ,-1.45,-1.323,-1.315,-1.251,-1.15,-1.182,-1.182,-1.122,-1.218,-1.314
Joint 2: ,1.0,0.973,1.046,1.0,0.891,0.82,0.559,0.373,0.217,0.061
Joint 3: ,-0.4,-0.842,-0.938,-0.932,-1.01,-0.992,-0.922,-0.91,-0.716,-0.523
Joint 4: ,-0.1,-0.115,-0.126,-0.182,-0.32,-0.249,-0.372,-0.581,-0.499,-0.418
Joint 5: ,-1.7,-1.516,-1.676,-1.821,-1.915,-1.887,-1.935,-1.887,-1.948,-2.01
Joint 6: ,0.5,0.469,0.198,0.168,0.191,0.325,0.721,0.876,1.761,2.647
Trial,24,Sim Type,3,Distance Weight,1,Random Seed,360,Min Iterations,1500,Distance cost,0.6622811587933106,Manip Cost,0.2727272727272727,Total cost,0.629167100853645,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,2.637032736991858e-05,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,3.680127139e-11
Distance to Last Node,0.0,0.097,0.098,0.1,0.119,0.094,0.12,0.04,0.041,0.059,0.049
Total Cost,0.0,0.07434,0.14995,0.22653,0.31845,0.39113,0.48381,0.51487,0.54608,0.59134,0.62917
Joint 0: ,0.4,0.286,0.143,-0.064,-0.097,-0.137,-0.215,-0.297,-0.379,-0.409,-0.439
Joint 1: ,-1.45,-1.168,-1.191,-1.181,-1.264,-1.125,-1.172,-1.169,-1.166,-1.242,-1.319
Joint 2: ,1.0,0.746,0.772,0.802,0.471,0.22,-0.03,0.108,0.247,0.031,-0.184
Joint 3: ,-0.4,-0.819,-0.852,-1.005,-0.783,-1.004,-0.85,-0.85,-0.849,-0.689,-0.53
Joint 4: ,-0.1,-0.033,-0.145,-0.166,0.032,-0.082,-0.116,-0.339,-0.563,-0.391,-0.22
Joint 5: ,-1.7,-1.637,-1.758,-1.747,-2.15,-2.023,-2.047,-1.99,-1.934,-1.957,-1.98
Joint 6: ,0.5,1.521,1.159,0.955,1.716,2.097,2.523,1.4,0.277,1.427,2.576
Trial,25,Sim Type,3,Distance Weight,1,Random Seed,375,Min Iterations,1500,Distance cost,0.6530605368584975,Manip Cost,0.45151543484163376,Total cost,0.6204075100155726,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,2.637032736991858e-05,0.0,0.0,3.013541395e-11,0.0,1.0,1.0,1.0,1.0,2.001179083202612e-05,2.081190285247472e-05,2.158974254815726e-05,2.234334863963657e-05
Distance to Last Node,0.0,0.079,0.05,0.084,0.05,0.099,0.124,0.095,0.05,0.093,0.027,0.027,0.028
Total Cost,0.0,0.06108,0.09956,0.1639,0.20238,0.27869,0.37406,0.44731,0.48579,0.55724,0.57802,0.5991,0.62041
Joint 0: ,0.4,0.32,0.191,-0.04,-0.112,-0.217,-0.393,-0.445,-0.432,-0.595,-0.61,-0.625,-0.64
Joint 1: ,-1.45,-1.353,-1.267,-1.253,-1.243,-1.2,-1.148,-1.18,-1.2,-1.308,-1.33,-1.352,-1.374
Joint 2: ,1.0,0.955,0.946,1.054,1.034,0.932,0.879,0.708,0.597,0.715,0.745,0.775,0.806
Joint 3: ,-0.4,-0.467,-0.673,-0.981,-1.024,-1.09,-1.151,-1.065,-0.976,-0.71,-0.641,-0.573,-0.505
Joint 4: ,-0.1,-0.16,-0.145,-0.19,-0.24,-0.342,-0.483,-0.549,-0.663,-0.704,-0.815,-0.925,-1.036
Joint 5: ,-1.7,-1.857,-1.777,-1.688,-1.725,-1.839,-1.907,-2.009,-2.087,-2.158,-2.16,-2.162,-2.165
Joint 6: ,0.5,0.468,0.552,0.186,0.118,0.115,-0.053,0.074,0.111,-0.473,-1.474,-2.475,-3.475
Trial,26,Sim Type,3,Distance Weight,1,Random Seed,390,Min Iterations,1500,Distance cost,0.6569049969759548,Manip Cost,0.5105635146389762,Total cost,0.6240597471271571,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,2.637032736991858e-05,2.683160555598604e-05,0.0,2.798474648663092e-05,2.831209686624146e-05,2.819177071784754e-05,2.792589642168294e-05,3.003732189371034e-05,2.366591976930644e-05,2.197465355238019e-05,6.465222816e-11,2.065389948237608e-05
Distance to Last Node,0.0,0.05,0.095,0.05,0.094,0.099,0.088,0.05,0.106,0.05,0.057,0.071
Total Cost,0.0,0.03848,0.11196,0.15044,0.22294,0.29942,0.367,0.40548,0.48713,0.52561,0.56937,0.62406
Joint 0: ,0.4,0.259,0.056,0.007,-0.129,-0.237,-0.391,-0.352,-0.45,-0.466,-0.467,-0.628
Joint 1: ,-1.45,-1.414,-1.362,-1.431,-1.408,-1.382,-1.347,-1.479,-1.267,-1.309,-1.304,-1.364
Joint 2: ,1.0,1.035,1.04,1.108,1.139,1.139,1.133,1.272,0.901,0.803,0.58,0.732
Joint 3: ,-0.4,-0.607,-0.833,-0.758,-0.769,-0.65,-0.776,-0.671,-0.833,-0.702,-0.71,-0.506
Joint 4: ,-0.1,-0.106,-0.127,-0.138,-0.18,-0.224,-0.295,-0.683,-1.023,-1.066,-1.115,-0.972
Joint 5: ,-1.7,-1.66,-1.671,-1.922,-2.086,-2.208,-2.286,-2.671,-2.321,-2.342,-2.224,-2.146
Joint 6: ,0.5,0.337,0.238,-0.043,-0.232,-0.33,-0.443,-1.154,-0.127,0.038,1.529,2.795
Trial,27,Sim Type,3,Distance Weight,1,Random Seed,405,Min Iterations,1500,Distance cost,0.6835252603016415,Manip Cost,0.4946639040376977,Total cost,0.6493489972865594,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,2.637032736991858e-05,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.349673834477259e-05,1.74313665126698e-05,2.099578960471845e-05
Distance to Last Node,0.0,0.089,0.05,0.098,0.092,0.089,0.104,0.093,0.122,0.027,0.027,0.027,0.027
Total Cost,0.0,0.06869,0.10717,0.18279,0.25328,0.32156,0.40129,0.47251,0.56617,0.58715,0.60771,0.62827,0.64935
Joint 0: ,0.4,0.259,0.127,-0.111,-0.285,-0.43,-0.399,-0.391,-0.326,-0.402,-0.478,-0.555,-0.631
Joint 1: ,-1.45,-1.361,-1.317,-1.258,-1.182,-1.15,-1.099,-1.226,-1.357,-1.359,-1.361,-1.364,-1.366
Joint 2: ,1.0,0.957,0.987,1.037,1.101,1.173,0.812,0.704,0.159,0.306,0.452,0.599,0.746
Joint 3: ,-0.4,-0.541,-0.738,-1.011,-1.076,-1.107,-0.99,-0.829,-0.507,-0.507,-0.507,-0.506,-0.506
Joint 4: ,-0.1,-0.081,-0.121,-0.147,-0.158,-0.25,-0.339,-0.538,-0.589,-0.688,-0.787,-0.886,-0.985
Joint 5: ,-1.7,-1.812,-1.753,-1.706,-1.768,-1.933,-1.92,-2.057,-2.267,-2.238,-2.208,-2.179,-2.15
Joint 6: ,0.5,0.717,0.523,0.342,0.178,-0.118,0.532,0.347,1.425,0.197,-1.03,-2.257,-3.484
Trial,28,Sim Type,3,Distance Weight,1,Random Seed,420,Min Iterations,1500,Distance cost,0.6711913116615598,Manip Cost,0.3333333333333333,Total cost,0.6376317460784817,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,2.637032736991858e-05,0.0,2.867431756e-11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,4.505272233e-11
Distance to Last Node,0.0,0.05,0.099,0.079,0.096,0.05,0.097,0.049,0.094,0.034,0.107,0.073
Total Cost,0.0,0.03848,0.11499,0.17598,0.24962,0.2881,0.36248,0.40043,0.47261,0.49861,0.58126,0.63763
Joint 0: ,0.4,0.288,0.065,0.003,-0.158,-0.244,-0.285,-0.303,-0.334,-0.234,-0.223,-0.458
Joint 1: ,-1.45,-1.388,-1.297,-1.153,-0.992,-0.965,-1.026,-1.125,-1.164,-1.202,-1.39,-1.316
Joint 2: ,1.0,0.971,1.025,0.862,0.736,0.701,0.541,0.61,0.365,0.017,-0.396,-0.1
Joint 3: ,-0.4,-0.611,-0.926,-1.015,-1.263,-1.332,-1.178,-1.065,-0.914,-0.852,-0.616,-0.527
Joint 4: ,-0.1,-0.12,-0.137,-0.074,-0.095,-0.121,-0.162,-0.414,-0.344,-0.165,-0.309,-0.287
Joint 5: ,-1.7,-1.679,-1.693,-1.803,-1.645,-1.583,-1.781,-1.889,-1.852,-1.81,-2.106,-1.989
Joint 6: ,0.5,0.539,0.35,0.772,0.986,0.983,1.116,0.363,0.918,2.125,3.324,2.602
Trial,29,Sim Type,3,Distance Weight,1,Random Seed,435,Min Iterations,1500,Distance cost,0.6845932126263937,Manip Cost,0.44015456724146557,Total cost,0.650363551995074,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,2.637032736991858e-05,0.0,2.758401305184148e-05,2.614179179e-11,5.117792846e-11,1.0,1.0,1.0,3.014754545080434e-05,2.72019949598439e-05,2.876164922738217e-05,2.999317942964948e-05,3.087164727646142e-05
Distance to Last Node,0.0,0.05,0.094,0.087,0.09,0.094,0.082,0.091,0.05,0.099,0.036,0.036,0.037
Total Cost,0.0,0.03848,0.11107,0.17766,0.2466,0.31871,0.3822,0.4523,0.49078,0.5667,0.59408,0.62156,0.65036
Joint 0: ,0.4,0.264,0.154,0.071,-0.219,-0.393,-0.523,-0.658,-0.657,-0.687,-0.692,-0.697,-0.703
Joint 1: ,-1.45,-1.4,-1.419,-1.353,-1.255,-1.162,-1.243,-1.241,-1.39,-1.317,-1.371,-1.425,-1.479
Joint 2: ,1.0,1.021,1.083,1.01,1.125,1.085,1.2,1.151,1.324,1.094,1.19,1.286,1.382
Joint 3: ,-0.4,-0.605,-0.523,-0.543,-0.96,-1.131,-1.167,-1.112,-0.982,-0.905,-0.769,-0.633,-0.497
Joint 4: ,-0.1,-0.121,-0.017,-0.114,-0.15,-0.093,-0.275,-0.31,-0.571,-1.033,-1.212,-1.392,-1.571
Joint 5: ,-1.7,-1.65,-1.944,-2.12,-1.929,-1.994,-2.193,-2.301,-2.585,-2.32,-2.322,-2.323,-2.325
Joint 6: ,0.5,0.349,0.322,0.278,0.016,0.128,-0.271,-0.288,-0.731,0.112,-1.072,-2.256,-3.441
Trial,30,Sim Type,3,Distance Weight,1,Random Seed,450,Min Iterations,1500,Distance cost,0.6455712803907072,Manip Cost,0.40820052527544104,Total cost,0.6132927163711718,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,2.637032736991858e-05,2.690438087361026e-05,0.0,2.950582919e-11,3.053279078e-11,1.0,1.0,1.0,1.0,2.652616302966513e-05,2.767854384627156e-05,2.1152576866453e-05,2.055548635793758e-05
Distance to Last Node,0.0,0.05,0.095,0.1,0.093,0.095,0.08,0.03,0.03,0.031,0.035,0.098,0.062
Total Cost,0.0,0.03848,0.11126,0.18791,0.25944,0.33242,0.3938,0.41656,0.43967,0.46327,0.49002,0.56574,0.61329
Joint 0: ,0.4,0.269,0.079,-0.066,-0.272,-0.308,-0.412,-0.459,-0.506,-0.554,-0.602,-0.588,-0.628
Joint 1: ,-1.45,-1.427,-1.336,-1.271,-1.209,-1.138,-1.166,-1.198,-1.23,-1.262,-1.287,-1.283,-1.363
Joint 2: ,1.0,1.037,1.054,1.027,1.025,0.846,0.74,0.851,0.963,1.075,1.146,0.772,0.728
Joint 3: ,-0.4,-0.576,-0.785,-0.856,-1.074,-1.119,-1.047,-1.05,-1.054,-1.058,-0.971,-0.828,-0.506
Joint 4: ,-0.1,-0.096,-0.189,-0.262,-0.326,-0.452,-0.378,-0.594,-0.811,-1.027,-1.093,-1.1,-0.969
Joint 5: ,-1.7,-1.693,-1.698,-1.797,-1.712,-1.857,-1.885,-1.966,-2.046,-2.127,-2.168,-2.154,-2.145
Joint 6: ,0.5,0.348,0.056,-0.057,-0.156,-0.015,0.183,-1.043,-2.27,-3.496,-4.865,-3.383,-3.487
Trial,31,Sim Type,3,Distance Weight,1,Random Seed,465,Min Iterations,1500,Distance cost,0.6517523824564766,Manip Cost,0.6136123771892457,Total cost,0.6191647633336528,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,2.637032736991858e-05,0.0,0.0,0.0,0.0,0.0,2.43836280309294e-05,2.297729023047949e-05,2.832625258e-11,1.0,2.439877305784348e-05,2.794969091679178e-05,2.839439244263027e-05,2.877515820882296e-05,2.909048684148165e-05
Distance to Last Node,0.0,0.098,0.095,0.05,0.096,0.05,0.106,0.035,0.038,0.042,0.016,0.058,0.042,0.041,0.039
Total Cost,0.0,0.07513,0.14795,0.18643,0.26003,0.29852,0.37997,0.407,0.4366,0.46862,0.48096,0.52532,0.55787,0.58905,0.61916
Joint 0: ,0.4,0.159,-0.05,-0.116,-0.285,-0.349,-0.274,-0.336,-0.399,-0.461,-0.54,-0.704,-0.699,-0.694,-0.689
Joint 1: ,-1.45,-1.387,-1.306,-1.268,-1.312,-1.268,-1.403,-1.333,-1.262,-1.192,-1.261,-1.299,-1.346,-1.394,-1.441
Joint 2: ,1.0,1.026,1.044,1.017,1.069,1.015,0.9,0.845,0.791,0.737,0.944,1.16,1.171,1.181,1.192
Joint 3: ,-0.4,-0.746,-0.946,-1.001,-1.061,-1.065,-0.67,-0.758,-0.846,-0.934,-0.91,-0.967,-0.811,-0.655,-0.499
Joint 4: ,-0.1,-0.119,-0.147,-0.209,-0.281,-0.282,-0.532,-0.574,-0.615,-0.657,-0.795,-1.02,-1.142,-1.264,-1.386
Joint 5: ,-1.7,-1.661,-1.625,-1.68,-1.829,-1.867,-2.441,-2.343,-2.245,-2.147,-2.233,-2.157,-2.195,-2.233,-2.271
Joint 6: ,0.5,0.26,0.16,0.099,-0.231,-0.15,-0.637,0.533,1.703,2.872,1.554,0.104,-1.078,-2.26,-3.441
Trial,32,Sim Type,3,Distance Weight,1,Random Seed,480,Min Iterations,1500,Distance cost,0.6700062197486573,Manip Cost,0.5977324241711325,Total cost,0.6365059087612244,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,2.637032736991858e-05,0.0,0.0,3.116592914143189e-05,3.718812165e-11,0.0,2.793525336739159e-05,2.526944987630435e-05,2.915230727247617e-05,3.115991920898483e-05,3.031436777479754e-05,3.088608394820112e-05
Distance to Last Node,0.0,0.097,0.117,0.095,0.036,0.051,0.103,0.083,0.044,0.055,0.115,0.03
Total Cost,0.0,0.07494,0.1647,0.23768,0.26557,0.3045,0.38414,0.44828,0.48234,0.52486,0.61359,0.63651
Joint 0: ,0.4,0.154,-0.022,-0.233,-0.214,-0.195,-0.327,-0.459,-0.559,-0.658,-0.669,-0.703
Joint 1: ,-1.45,-1.291,-1.297,-1.443,-1.34,-1.237,-1.348,-1.459,-1.464,-1.47,-1.451,-1.479
Joint 2: ,1.0,0.995,1.082,1.47,1.12,0.771,1.134,0.937,1.191,1.445,1.313,1.384
Joint 3: ,-0.4,-0.849,-0.957,-1.097,-1.029,-0.96,-0.81,-0.655,-0.637,-0.619,-0.623,-0.497
Joint 4: ,-0.1,-0.094,-0.179,-0.637,-0.431,-0.225,-0.823,-0.225,-0.565,-0.905,-1.709,-1.573
